Song,Artist,Initials,Number
22,Taylor Swift,2_,1
1901,Phoenix,1___,2
1979,The Smashing Pumpkins,1___,3
10:15 Saturday Night,The Cure,1_:__ S_______ N____,4
2000 Light Years From Home,The Rolling Stones,2___ L____ Y____ F___ H___,5
500 Miles,The Proclaimers,5__ M____,6
7 Minutes In Heaven,"Nick Helm, Elliot Speller-Gillott",7 M______ I_ H_____,7
99 Red Balloons,Nena,9_ R__ B_______,8
A Day In The Life,The Beatles,A D__ I_ T__ L___,9
A Horse with No Name,America,A H____ w___ N_ N___,10
A Message to You Rudy,The Specials,A M______ t_ Y__ R___,11
A Thousand Miles,Vanessa Carlton,A T_______ M____,12
Aberdeen,Cage The Elephant,A_______,13
Africa,TOTO,A_____,14
Ain't No Grave,Johnny Cash,A__'_ N_ G____,15
Ain't No Mountain High Enough,"Marvin Gaye, Tammi Terrell",A__'_ N_ M_______ H___ E_____,16
Ain't No Rest for the Wicked,Cage The Elephant,A__'_ N_ R___ f__ t__ W_____,17
Ain't No Sunshine,Bill Withers,A__'_ N_ S_______,18
All Along the Watchtower,Jimi Hendrix,A__ A____ t__ W_________,19
All Out of Love,Air Supply,A__ O__ o_ L___,20
All Right Now,Free,A__ R____ N__,21
All The Small Things,blink-182,A__ T__ S____ T_____,22
All the Young Dudes,Mott The Hoople,A__ t__  Y____ D____,23
All You Need Is Love,The Beatles,A__ Y__ N___ I_ L___,24
Alone,Heart,A____,25
Alright Now,Liam Gallagher,A______ N__,26
Always Something,Cage The Elephant,A_____ S________,27
Always Where I Need To Be,The Kooks,A_____ W____ I N___ T_ B_,28
American Girl,Tom Petty and the Heartbreakers,A_______ G___,29
Anarchy In The UK,Sex Pistols,A______ I_ T__ U_,30
Angie,The Rolling Stones,A____,31
Annie's Song,John Denver,A____'_ S___,32
Another Day In Paradise,Phil Collins,A______ D__ I_ P_______,33
Another Girl Another Planet,The Only Ones,A______ G___ A______ P_____,34
Are Friends Electric?,Tubeway Army,A__ F______ E_______?,35
Are You Gonna Be My Girl,Jet,A__ Y__ G_____ B_ M_ G___,36
As Long as You Love Me,Backstreet Boys,A_ L___ a_ Y__ L___ M_,37
As Tears Go By,The Rolling Stones,A_ T____ G_ B_,38
Baba O'Riley,The Who,B___ O'_____,39
Baby,"Justin Bieber, Ludacris",B___,40
Baby I Love You,Ramones,B___ I L___ Y__,41
Back Against the Wall,Cage The Elephant,B___ A______ t__ W___,42
Back Down South,Kings of Leon,B___ D___ S____,43
Back In The USSR,The Beatles,B___ I_ T__ U___,44
Back Off Boogaloo,Ringo Starr,B___ O__ B_______,45
Back Stabbin' Betty,Cage The Elephant,B___ S______' B____,46
Bad Habit,The Kooks,B__ H____,47
Bad Moon Rising,Creedence Clearwater Revival,B__ M___ R_____,48
Badlands,Bruce Springsteen,B_______,49
Band On The Run,"Paul McCartney, Wings",B___ O_ T__ R__,50
Beast Of Burden,The Rolling Stones,B____ O_ B_____,51
Beautiful War,Kings of Leon,B________ W__,52
Because I Love You,The Master's Apprentices,B______ I L___ Y__,53
Behind Blue Eyes,The Who,B_____ B___ E___,54
Best of You,Foo Fighters,B___ o_ Y__,55
Better off Dead,Bill Withers,B_____ o__ D___,56
Bigger Boys and Stolen Sweethearts,Arctic Monkeys,B_____ B___ a__ S____ S__________,57
Bigmouth Strikes Again,The Smiths,B_______ S_____ A____,58
Black Madonna,Cage The Elephant,B____ M______,59
Black Magic Woman,Fleetwood Mac,B____ M____ W____,60
Blackbird,The Beatles,B________,61
Blank Space,Taylor Swift,B____ S____,62
Blinded By The Light,Manfred Mann's Earth Band,B______ B_ T__ L____,63
Blitzkrieg Bop,Ramones,B_________ B__,64
Blue Monday,New Order,B___ M_____,65
Bohemian Like You,The Dandy Warhols,B_______ L___ Y__,66
Bombtrack,Rage Against The Machine,B________,67
Born in the USA,Bruce Springsteen,B___ i_ t__ U__,68
Born to Run,Bruce Springsteen,B___ t_ R__,69
Boulevard of Broken Dreams,Green Day,B________ o_ B_____ D_____,70
Bouncing off the Wall,Green Day,B_______ o__ t__ W___,71
Boys Don't Cry,The Cure,B___ D__'_ C__,72
Brandy,Looking Glass,B_____,73
Breakfast In America,Supertramp,B________ I_ A______,74
Brianstorm,Arctic Monkeys,B_________,75
Brighton Rock,Queen,B_______ R___,76
Bring It On Home to Me,Sam Cooke,B____ I_ O_ H___ t_ M_,77
Broken Boy,Cage The Elephant,B_____ B__,78
Brown Eyed Girl,Van Morrison,B____ E___ G___,79
Brown Sugar,The Rolling Stones,B____ S____,80
Buddy Holly,Weezer,B____ H____,81
Build Me Up Buttercup,The Foundations,B____ M_ U_ B________,82
Bullet With Butterfly Wings,The Smashing Pumpkins,B_____ W___ B________ W____,83
Bus Driver,Flight of the Conchords,B__ D_____,84
Business Time,Flight of the Conchords,B_______ T___,85
California Dreamin',The Mamas & The Papas,C_________ D______',86
California Waiting,Kings of Leon,C_________ W______,87
Cameos,Swimming Tapes,C_____,88
Can't Stand Me Now,The Libertines,C__'_ S____ M_ N__,89
Carol Brown,Flight of the Conchords,C____ B____,90
Carolina in My Mind,James Taylor,C_______ i_ M_ M___,91
Carry on Wayward Son,Kansas,C____ o_ W______ S__,92
Cats in the Cradle,Harry Chapin,C___ i_ t__ C_____,93
Cavorting,Courteeners,C________,94
Cecilia,Simon & Garfunkel,C______,95
Celebrity Skin,Hole,C________ S___,96
Champagne Supernova,Oasis,C________ S________,97
Change the World,Eric Clapton,C_____ t__ W____,98
Changes,David Bowie,C______,99
Changing of the Guards,Bob Dylan,C_______ o_ t__ G_____,100
Charlemagne,Blossoms,C__________,101
Charmer,Kings of Leon,C______,102
Chasing Rainbows,Shed Seven,C______ R_______,103
Chelsea Dagger,The Fratellis,C______ D_____,104
Cherry Bomb,The Runaways,C_____ B___,105
China Girl,David Bowie,C____ G___,106
Cigarette Daydreams,Cage The Elephant,C________ D________,107
City Boy,Calpurnia,C___ B__,108
Civil War,Guns N' Roses,C____ W__,109
Closer,Kings of Leon,C_____,110
Closer To The Heart,Rush,C_____ T_ T__ H____,111
Cocaine,Eric Clapton,C______,112
Cocaine Blues,Johnny Cash,C______ B____,113
Cold Cold Cold,Cage The Elephant,C___ C___ C___,114
Cold Desert,Kings of Leon,C___ D_____,115
Come A Little Bit Closer,Jay & The Americans,C___ A L_____ B__ C_____,116
Come A Little Closer,Cage The Elephant,C___ A L_____ C_____,117
Come and Get Your Love,Redbone,C___ a__ G__ Y___ L___,118
Come As You Are,Nirvana,C___ A_ Y__ A__,119
Come On Eileen,Dexys Midnight Runners,C___ O_ E_____,120
Come Together,The Beatles,C___ T_______,121
Common People,Pulp,C_____ P_____,122
Conversation Piece,Kings of Leon,C___________ P____,123
Country Girl,Primal Scream,C______ G___,124
Crackerbox Palace,George Harrison,C_________ P_____,125
Crazy,Aerosmith,C____,126
Crazy Train,Ozzy Osbourne,C____ T____,127
Creep,Radiohead,C____,128
Crossroads,Cream,C_________,129
Cry Baby,Cage The Elephant,C__ B___,130
Cry Baby Cry,The Beatles,C__ B___ C__,131
Cuntry Boys & City Girls,The Fratellis,C_____ B___ & C___ G____,132
Dakota,Stereophonics,D_____,133
Dance Dance,Cage The Elephant,D____ D____,134
Dancing in the Moonlight,Toploader,D______ i_ t__ M________,135
Dani California,Red Hot Chili Peppers,D___ C_________,136
Dark Necessities,Red Hot Chili Peppers,D___ N__________,137
Day Tripper,The Beatles,D__ T______,138
"December, 1963",Frankie Valli & The Four Seasons,"D_______, 1___",139
Desperado,Eagles,D________,140
Disco 2000,Pulp,D____ 2___,141
Django,"Luis Bacalov, Rocky Roberts",D_____,142
Do I Wanna Know?,Arctic Monkeys,D_ I W____ K___?,143
Do You Believe In Love,Huey Lewis & The News,D_ Y__ B______ I_ L___,144
Do You Remember The First Time?,Pulp,D_ Y__ R_______ T__ F____ T___?,145
Don't Fear The Reaper,Blue Öyster Cult,D__'_ F___ T__ R_____,146
Don't Go Away,Oasis,D__'_ G_ A___,147
Don't Go Breaking My Heart,"Elton John, Kiki Dee",D__'_ G_ B_______ M_ H____,148
Don't Let Me Down,The Beatles,D__'_ L__ M_ D___,149
Don't Look Back in Anger,Oasis,D__'_ L___ B___ i_ A____,150
Don't Look Back into the Sun,The Libertines,D__'_ L___ B___ i_ A____,151
Don't Stop Believin',Journey,D__'_ S___ B_______',152
Don't Stop Me Now,Queen,D__'_ S___ M_ N__,153
Don't You Forget About Me,Simple Minds,D__'_ Y__ F_____ A____ M_,154
Doom And Gloom,"The Rolling Stones, Alessandro Benassi, Marco Benassi",D___ A__ G____,155
Down On The Corner,Creedence Clearwater Revival,D___ O_ T__ C_____,156
Down Under,Men At Work,D___ U____,157
Dream On,Aerosmith,D____ O_,158
Dreaming of You,The Coral,D_______ o_ Y__,159
Dreams,Fleetwood Mac,D_____,160
Drive,The Cars,D____,161
Duchess,The Stranglers,D______,162
Dude Looks Like A Lady,Aerosmith,D___ L____ L___ A L___,163
Easy,Commodores,E___,164
Easy Like Sunday Morning,Charles Givings,E___ L___ S_____ M______,165
Eleanor Rigby,The Beatles,E______ R____,166
Elephant,Tame Impala,E_______,167
Escape,Rupert Holmes,E_____,168
Every Breath You Take,The Police,E____ B_____ Y__ T___,169
Every Rose Has It's Thorn,Poison,E____ R___ H__ I_'_ T____,170
Everybody Hurts,R.E.M.,E________ H____,171
Everything I Do I Do It For You,Bryan Adams,E_________ I D_ I D_ I_ F__ Y__,172
Everywhere,Fleetwood Mac,E_________,173
Eyes On You,Kings of Leon,E___ O_ Y__,174
Family Table,Bill Withers,F_____ T____,175
Father And Son,Yusuf / Cat Stevens,F_____ A__ S__,176
Feels Like We Only Go Backwards,Tame Impala,F____ L___ W_ O___ G_ B________,177
Fell In Love With A Girl,The White Stripes,F___ I_ L___ W___ A G___,178
Find Me,Kings of Leon,F___ M_,179
Fireside,Arctic Monkeys,F_______,180
Firestarter,The Prodigy,F__________,181
Fluorescent Adolescent,Arctic Monkeys,F__________ A_________,182
Folsom Prison Blues,Johnny Cash,F_____ P_____ B____,183
Fooled Around And Fell In Love,Elvin Bishop,F_____ A_____ A__ F___ I_ L___,184
Fools Gold,The Stone Roses,F____ G___,185
For What Its Worth,Buffalo Springfield,F__ W___ I__ W____,186
Forever In Blue Jeans,Neil Diamond,F______ I_ B___ J____,187
Forever Now,Green Day,F______ N__,188
Forever Young,Alphaville,F______ Y____,189
Fortunate Son,Creedence Clearwater Revival,F________ S__,190
Four Out Of Five,Arctic Monkeys,F___ O__ O_ F___,191
Foux du Fafa,Flight of the Conchords,F___ d_ F___,192
Fox on the Run,Sweet,F__ o_ t__ R__,193
Free Love,Cage The Elephant,F___ L___,194
Friday I'm in Love,The Cure,F_____ I'_ i_ L___,195
From The Ritz To The Rubble,Arctic Monkeys,F___ T__ R__ T__ T_ R_____,196
Genius,Kings of Leon,G_____,197
Get Over It,OK Go,G___ O___ I_,198
Gimme Shelter,The Rolling Stones,G____ S______,199
Gimme Some Lovin',The Blues Brothers,G____ S___ L____',200
Girl from the North Country,"Bob Dylan, Johnny Cash",G___ f___ t__ N____ C______,201
Girls and Boys,Blur,G____ a__ B___,202
Give It Away,Red Hot Chili Peppers,G___ I_ A___,203
Glimmer,Liam Gallagher,G_____,204
Go Your Own Way,Fleetwood Mac,G_ Y___ O__ W__,205
God's Gonna Cut You Down,Johnny Cash,G__'_ G____ C__ Y__ D___,206
Going Underground,The Jam,G____ U__________,207
Gold on the Ceiling,The Black Keys,G___ o_ t__ C______,208
Golden Touch,Razorlight,G_____ T____,209
Goodbye,Cage The Elephant,G______,210
Goodbye Mr A,The Hoosiers,G______ M_ A,211
Goodbye My Lover,James Blunt,G______ M_ L____,212
Goodbye to Romance,Ozzy Osbourne,G______ t_ R______,213
Got My Mind Set On You,George Harrison,G__ M_ M___ S__ O_ Y__,214
Grandma's Hands,Bill Withers,G______'_ H____,215
Grenade,Bruno Mars,G______,216
Greyhound,Calpurnia,G________,217
Grinding Halt,The Cure,G_______ H___,218
Grounds For Divorce,Elbow,G______ F__ D______,219
Gwen,Nick Helm,G___,220
Halo,Cage The Elephant,H___,221
Hanging 'Round,Mystic Braves,H______ 'R____,222
Harlem,Bill Withers,H_____,223
Harlem Shuffle,Bob & Earl,H_____ S______,224
Hate To Say I Told You So,The Hives,H___ T_ S__ I T___ Y__ S_,225
Have You Ever Seen The Rain,Creedence Clearwater Revival,H___ Y__ E___ S___ T__ R___,226
Heaven,Bryan Adams,H_____,227
Help!,The Beatles,H___!,228
Henrietta,The Fratellis,H________,229
Here Comes The Sun,The Beatles,H___ C____ T__ S__,230
Here I Go Again 87,Whitesnake,H___ I G_ A____ 8_,231
Here It Goes Again,OK Go,H___ I_ G___ A____,232
Hey Joe,Jimi Hendrix,H__ J__,233
Hey Jude,The Beatles,H__ J___,234
Highway,Bleeker,H______,235
Highway to Hell,AC/DC,H______ t_ H___,236
Hiphopopotamus vs Rhymenoceros,Flight of the Conchords,H_____________ v_ R___________,237
"Hold On, I'm Comin'",Sam & Dave,"H___ O_, I'_ C____'",238
Hold the Line,TOTO,H___ t__ L___,239
Hollow,Barns Courtney,H_____,240
Honey Sweet,Blossoms,H____ S____,241
Honky Tonk Women,The Rolling Stones,H____ T___ W____,242
Hooked on a Feeling,"Blue Swede, Björn Skifs",H_____ o_ a F______,243
Hotel California,Eagles,H____ C_________,244
House Of Glass,Cage The Elephant,H____ O_ G____,245
House Of The Rising Sun,The Animals,H____ O_ T__ R_____ S__,246
How Am I Supposed to Live Without You,Michael Bolton,H__ A_ I S_______ t_ L___ W______ Y__,247
How Deep Is Your Love,Bee Gees,H__ D___ I_ Y___ L___,248
How Soon Is Now?,The Smiths,H__ S___ I_ N__?,249
How Would You Feel,Ed Sheeran,H__ W____ Y__ F___,250
Howlin' For You,The Black Keys,H_____' F__ Y__,251
Human,The Killers,H____,252
Hurt,Johnny Cash,H___,253
Hurt Feelings,Flight of the Conchords,H___ F_______,254
Hypocrite,Cage The Elephant,H________,255
I Am the Resurrection,The Stone Roses,I A_ t__ R___________,256
I Am The Walrus,The Beatles,I A_ t__ W_____,257
I Believe in a Thing Called Love,The Darkness,I B______ i_ a T____ C_____ L___,258
I Can See Clearly Now,Johnny Nash,I C__ S__ C______ N__,259
I Can't Explain,The Who,I C__'_ E______,260
I Can't Get No Satisfaction,The Rolling Stones,I C__'_ G__ N_ S___________,261
I Can't Quit,The Vaccines,I C__'_ Q___,262
I Can't Quit You Baby,Led Zeppelin,I C__'_ Q___ Y__ B___,263
I Can't Stand It,Blossoms,I C__'_ S____ I_,264
I Can't Wait,The White Stripes,I C__'_ W___,265
I Don't Like Mondays,The Boomtown Rats,I D__'_ L___ M______,266
I Fought the Law,The Clash,I F_____ t__ L__,267
I Get Around,The Beach Boys,I G__ A_____,268
I Heard It Through The Grapevine,Marvin Gaye,I H____ I_ T______ T__ G________,269
I Just Died In Your Arms,Cutting Crew,I J____ D____ I_ Y___ A___,270
I Just Don't Know What To Do With Myself,The White Stripes,I J___ D__'_ K___ W___ T_ D_ W__ M_____,271
I like like you,"Elliot Speller-Gillott, Nick Helm",I l___ l___ Y__,272
I Predict A Riot,Kaiser Chiefs,I P______ A_____ R___,273
I Saw Her Standing There,The Beatles,I S__ H__ S_______ T____,274
I Shot The Sheriff,Eric Clapton,I S___ T__ S______,275
I Wanna Be Adored,The Stone Roses,I W____ B_ A_____,276
I Wanna Dance with Somebody,Whitney Houston,I W____ D____ W___ S_______,277
I Want It That Way,Backstreet Boys,I W___ I_ T___ W__,278
I Want To Hold Your Hand,The Beatles,I W___ T_ H___ Y___ H___,279
I Will Wait,Mumford & Sons,I W___ W___,280
Iain and Deanna,Flight of the Conchords,I___ a__ D_____,281
If I Could Turn Back Time,Cher,I_ I C____ T___ B___ T___,282
If You Wanna,The Vaccines,I_ Y__ W____,283
I'm Not In Love,10cc,I'_ N__ I_ L___,284
Imagine,John Lennon,I______,285
Immigrant Song,Led Zeppelin,I________ S___,286
